COLCT_DE,COUNTRY_CD,CHNNEL_NM,NEWS_KWRD_NM,KWRD_FQ_CO,FILE_NM,BASE_DE
2017-01,US,NEWS,kpop,947
2017-01,US,NEWS,music,800
2017-01,US,NEWS,bts,641
2017-01,US,NEWS,korean,608
2017-01,US,NEWS,korea,508
2017-01,US,NEWS,awards,490
2017-01,US,NEWS,fans,478
2017-01,US,NEWS,song,389
2017-01,US,NEWS,seoul,371
2017-01,US,NEWS,album,354
2017-01,US,NEWS,redvelvet,302
2017-02,US,NEWS,grammy,14345
2017-02,US,NEWS,album,10225
2017-02,US,NEWS,awards,8296
2017-02,US,NEWS,performance,7602
2017-02,US,NEWS,grammys,6987
2017-02,US,NEWS,award,4903
2017-02,US,NEWS,song,4022
2017-02,US,NEWS,music,3841
2017-02,US,NEWS,ceremony,3683
2017-02,US,NEWS,nominated,3005
2017-02,US,NEWS,singer,2387
2017-02,US,NEWS,artist,2180
2017-02,US,NEWS,pop,2166
2017-02,US,NEWS,jackson,1286
2017-02,US,NEWS,kpop,1168
2017-03,US,NEWS,korea,2765
2017-03,US,NEWS,korean,2452
2017-03,US,NEWS,kpop,1229
2017-03,US,NEWS,music,720
2017-03,US,NEWS,bts,709
2017-03,US,NEWS,seoul,702
2017-03,US,NEWS,fans,526
2017-03,US,NEWS,song,415
2017-04,US,NEWS,korea,2218
2017-04,US,NEWS,korean,1652
2017-04,US,NEWS,music,1358
2017-04,US,NEWS,awards,1008
2017-04,US,NEWS,kpop,774
2017-04,US,NEWS,seoul,760
2017-04,US,NEWS,bts,638
2017-04,US,NEWS,album,487
2017-04,US,NEWS,song,433
2017-04,US,NEWS,facebook,418
2017-04,US,NEWS,koreas,388
2017-05,US,NEWS,music,1635
2017-05,US,NEWS,kpop,1510
2017-05,US,NEWS,bts,1236
2017-05,US,NEWS,redvelvet,964
2017-05,US,NEWS,billboard,949
2017-05,US,NEWS,awards,895
2017-05,US,NEWS,korea,875
2017-05,US,NEWS,korean,864
2017-05,US,NEWS,fans,666
2017-05,US,NEWS,performance,631
2017-05,US,NEWS,songs,613
2017-05,US,NEWS,artist,572
2017-05,US,NEWS,song,571
2017-05,US,NEWS,award,542
2017-06,US,NEWS,johnson,875
2017-06,US,NEWS,kpop,836
2017-06,US,NEWS,music,824
2017-06,US,NEWS,bts,771
2017-06,US,NEWS,fans,689
2017-06,US,NEWS,korean,630
2017-06,US,NEWS,facebook,559
2017-07,US,NEWS,korea,2927
2017-07,US,NEWS,korean,1933
2017-07,US,NEWS,music,1271
2017-07,US,NEWS,kpop,1118
2017-07,US,NEWS,koreas,1072
2017-07,US,NEWS,bts,817
2017-07,US,NEWS,song,695
2017-07,US,NEWS,seoul,663
2017-07,US,NEWS,fans,599
2017-07,US,NEWS,facebook,574
2017-07,US,NEWS,youtube,517
2017-07,US,NEWS,redvelvet,512
2017-07,US,NEWS,songs,476
2017-07,US,NEWS,album,470
2017-08,US,NEWS,music,1186
2017-08,US,NEWS,bts,944
2017-08,US,NEWS,kpop,928
2017-08,US,NEWS,song,743
2017-08,US,NEWS,album,729
2017-08,US,NEWS,korean,729
2017-08,US,NEWS,fans,629
2017-08,US,NEWS,korea,576
2017-08,US,NEWS,singer,537
2017-08,US,NEWS,pop,491
2017-08,US,NEWS,facebook,385
2017-09,US,NEWS,korea,2082
2017-09,US,NEWS,bts,1618
2017-09,US,NEWS,korean,1561
2017-09,US,NEWS,music,1035
2017-09,US,NEWS,kpop,998
2017-09,US,NEWS,album,831
2017-09,US,NEWS,fans,707
2017-09,US,NEWS,facebook,535
2017-09,US,NEWS,song,523
2017-09,US,NEWS,twitter,381
2017-10,US,NEWS,bts,1111
2017-10,US,NEWS,kpop,922
2017-10,US,NEWS,music,869
2017-10,US,NEWS,korea,699
2017-10,US,NEWS,korean,689
2017-10,US,NEWS,fans,613
2017-10,US,NEWS,facebook,518
2017-10,US,NEWS,song,485
2017-10,US,NEWS,album,484
2017-11,US,NEWS,korean,3955
2017-11,US,NEWS,music,3616
2017-11,US,NEWS,awards,2909
2017-11,US,NEWS,korea,2563
2017-11,US,NEWS,bts,2061
2017-11,US,NEWS,kpop,1465
2017-11,US,NEWS,song,1210
2017-11,US,NEWS,performance,1001
2017-11,US,NEWS,artist,887
2017-11,US,NEWS,twitter,861
2017-11,US,NEWS,album,830
2017-11,US,NEWS,facebook,810
2017-11,US,NEWS,amas,797
2017-11,US,NEWS,hollywood,718
2017-11,US,NEWS,seoul,685
2017-11,US,NEWS,award,684
2017-12,US,NEWS,korean,1745
2017-12,US,NEWS,kpop,1729
2017-12,US,NEWS,jonghyun,1637
2017-12,US,NEWS,bts,1634
2017-12,US,NEWS,music,1263
2017-12,US,NEWS,twitter,1198
2017-12,US,NEWS,korea,1088
2017-12,US,NEWS,fans,888
2017-12,US,NEWS,facebook,829
2017-12,US,NEWS,singer,755
