COUNTRY_NM,COUNTRY_RANK_NM,ALL_TOTAL_CO,MALE_RATE,FEMALE_RATE,ALL_N10S_RATE,ALL_N20S_RATE,ALL_N30S_RATE,ALL_N40S_RATE,ALL_N50S_RATE,EXAMIN_COUNTRY_NM,REPRT_YEAR_CN,CNTNTS_URL
"한국","1순위","41","39.10000","43.00000","37.30000","41.30000","43.20000","37.80000","63.20000","중국","2020","드라마"
"미국","2순위","38","40.80000","35.70000","38.20000","40.50000","36.00000","40.80000","26.30000","중국","2020","드라마"
"일본","3순위","15","15.50000","14.00000","20.00000","14.00000","16.80000","10.20000","0.00000","중국","2020","드라마"
"한국","1순위","47","42.90000","51.40000","44.70000","54.10000","48.60000","34.90000","68.80000","중국","2020","예능"
"미국","2순위","27","29.60000","25.00000","30.90000","22.00000","27.50000","31.30000","18.80000","중국","2020","예능"
"일본","3순위","19","21.20000","16.30000","20.20000","17.40000","17.40000","24.10000","0.00000","중국","2020","예능"
"미국","1순위","60","62.10000","57.30000","66.70000","62.00000","58.20000","57.50000","25.00000","중국","2020","영화"
"한국","2순위","25","25.80000","24.80000","18.90000","25.00000","26.40000","25.00000","56.30000","중국","2020","영화"
"일본","3순위","11","10.10000","12.60000","12.20000","9.30000","11.80000","13.80000","6.30000","중국","2020","영화"
"미국","1순위","73","77.50000","68.60000","59.50000","73.60000","81.60000","76.90000","75.00000","일본","2020","드라마"
"한국","2순위","21","14.40000","26.70000","27.80000","23.00000","13.80000","17.90000","20.00000","일본","2020","드라마"
"영국","3순위","4","3.80000","3.50000","6.30000","1.10000","2.30000","5.10000","5.00000","일본","2020","드라마"
"미국","1순위","71","75.80000","66.30000","67.30000","62.00000","81.30000","70.80000","77.80000","일본","2020","예능"
"한국","2순위","20","15.40000","24.80000","21.20000","26.00000","12.50000","29.20000","11.10000","일본","2020","예능"
"영국","3순위","5","3.30000","6.90000","3.80000","8.00000","4.20000","0.00000","11.10000","일본","2020","예능"
"미국","1순위","86","83.60000","87.50000","74.10000","86.70000","88.00000","84.80000","97.10000","일본","2020","영화"
"한국","2순위","7","7.90000","5.90000","12.10000","8.00000","4.00000","6.10000","2.90000","일본","2020","영화"
"영국","3순위","5","4.30000","5.90000","6.90000","2.70000","6.70000","9.10000","0.00000","일본","2020","영화"
"한국","1순위","36","26.30000","45.90000","40.50000","35.80000","39.70000","29.60000","27.50000","대만","2020","드라마"
"미국","2순위","24","29.20000","19.40000","23.30000","32.50000","19.80000","22.20000","20.00000","대만","2020","드라마"
"일본","3순위","23","31.40000","15.70000","19.80000","20.80000","28.10000","27.20000","20.00000","대만","2020","드라마"
"일본","1순위","32","38.90000","26.60000","26.20000","30.30000","38.30000","34.80000","35.70000","대만","2020","예능"
"한국","2순위","29","20.20000","36.90000","28.00000","35.80000","29.90000","23.20000","17.90000","대만","2020","예능"
"중국","3순위","24","25.80000","22.50000","31.80000","19.30000","19.60000","20.30000","39.30000","대만","2020","예능"
"미국","1순위","69","65.60000","72.10000","65.20000","71.30000","73.60000","65.80000","63.60000","대만","2020","영화"
"일본","2순위","10","12.80000","8.20000","13.00000","11.30000","7.40000","10.50000","9.10000","대만","2020","영화"
"중국","3순위","10","11.90000","7.70000","12.20000","5.20000","8.30000","11.80000","18.20000","대만","2020","영화"
"한국","1순위","46","37.20000","53.10000","33.00000","48.30000","55.40000","46.10000","36.70000","태국","2020","드라마"
"미국","2순위","29","35.30000","23.50000","38.80000","21.20000","24.00000","32.60000","36.70000","태국","2020","드라마"
"중국","3순위","12","10.60000","13.20000","6.80000","16.10000","9.90000","11.20000","23.30000","태국","2020","드라마"
"한국","1순위","37","26.40000","47.40000","26.40000","46.90000","45.70000","28.90000","30.00000","태국","2020","예능"
"미국","2순위","33","35.90000","30.20000","44.50000","25.70000","29.30000","33.70000","30.00000","태국","2020","예능"
"일본","3순위","15","20.50000","9.50000","15.50000","9.70000","13.80000","20.50000","20.00000","태국","2020","예능"
"미국","1순위","51","55.40000","47.40000","50.90000","42.00000","50.00000","60.90000","70.40000","태국","2020","영화"
"한국","2순위","26","19.00000","32.10000","19.30000","29.40000","35.60000","19.50000","11.10000","태국","2020","영화"
"중국","3순위","12","13.00000","10.70000","7.00000","17.60000","7.60000","16.10000","11.10000","태국","2020","영화"
"한국","1순위","39","34.20000","43.00000","40.40000","41.90000","42.40000","30.90000","28.10000","말레이시아","2020","드라마"
"미국","2순위","33","38.70000","28.10000","34.90000","27.40000","25.40000","43.20000","53.10000","말레이시아","2020","드라마"
"중국","3순위","21","19.80000","22.60000","15.60000","20.50000","26.30000","23.50000","18.80000","말레이시아","2020","드라마"
"한국","1순위","36","34.00000","38.60000","41.80000","40.90000","35.20000","25.00000","29.60000","말레이시아","2020","예능"
"미국","2순위","34","40.10000","27.30000","30.90000","29.60000","27.80000","44.40000","55.60000","말레이시아","2020","예능"
"중국","3순위","23","17.50000","27.70000","18.20000","20.00000","32.40000","25.00000","7.40000","말레이시아","2020","예능"
"미국","1순위","58","64.60000","52.00000","57.30000","58.30000","55.00000","59.50000","70.60000","말레이시아","2020","영화"
"한국","2순위","22","19.20000","24.90000","25.50000","20.80000","23.40000","24.10000","5.90000","말레이시아","2020","영화"
"중국","3순위","14","12.20000","16.40000","10.00000","15.00000","17.10000","13.90000","17.60000","말레이시아","2020","영화"
"한국","1순위","71","65.50000","76.20000","71.20000","73.10000","78.20000","63.70000","47.10000","인도네시아","2020","드라마"
"미국","2순위","16","19.80000","12.90000","15.30000","16.00000","13.70000","17.60000","35.30000","인도네시아","2020","드라마"
"일본","3순위","7","7.30000","6.00000","9.30000","5.00000","4.00000","8.80000","5.90000","인도네시아","2020","드라마"
"한국","1순위","54","51.50000","56.00000","55.30000","59.30000","58.00000","43.00000","33.30000","인도네시아","2020","예능"
"미국","2순위","29","28.60000","29.80000","25.20000","22.20000","27.70000","40.70000","58.30000","인도네시아","2020","예능"
"일본","3순위","10","12.20000","8.00000","11.70000","11.10000","9.80000","7.00000","8.30000","인도네시아","2020","예능"
"미국","1순위","52","48.90000","54.10000","47.90000","52.90000","46.30000","59.20000","60.00000","인도네시아","2020","영화"
"한국","2순위","37","35.20000","38.20000","40.20000","33.10000","44.70000","29.10000","26.70000","인도네시아","2020","영화"
"일본","3순위","5","9.00000","2.00000","5.10000","7.40000","2.40000","6.80000","6.70000","인도네시아","2020","영화"
"미국","1순위","46","52.60000","41.20000","42.60000","54.20000","41.00000","50.70000","40.90000","인도","2020","드라마"
"한국","2순위","35","28.60000","40.70000","37.20000","33.30000","44.00000","23.90000","27.30000","인도","2020","드라마"
"영국","3순위","8","7.40000","7.80000","4.30000","6.30000","4.00000","17.90000","13.60000","인도","2020","드라마"
"미국","1순위","52","57.10000","48.00000","55.10000","61.60000","41.60000","49.20000","60.00000","인도","2020","예능"
"한국","2순위","27","23.70000","29.20000","23.20000","20.90000","38.20000","23.80000","20.00000","인도","2020","예능"
"중국","3순위","9","4.50000","12.90000","10.10000","8.10000","11.20000","7.90000","0.00000","인도","2020","예능"
"미국","1순위","60","64.80000","54.70000","65.20000","65.70000","51.50000","52.90000","70.80000","인도","2020","영화"
"한국","2순위","22","19.90000","24.50000","14.60000","24.50000","30.10000","18.60000","16.70000","인도","2020","영화"
"중국","3순위","8","5.10000","9.90000","9.00000","2.90000","10.70000","8.60000","4.20000","인도","2020","영화"
"한국","1순위","41","32.80000","48.20000","29.90000","45.90000","48.80000","35.60000","41.40000","베트남","2020","드라마"
"중국","2순위","29","26.10000","32.20000","26.50000","28.70000","27.20000","36.70000","27.60000","베트남","2020","드라마"
"미국","3순위","26","36.10000","16.70000","35.00000","23.80000","21.60000","23.30000","31.00000","베트남","2020","드라마"
"미국","1순위","37","44.70000","30.00000","45.10000","31.60000","34.20000","36.30000","46.20000","베트남","2020","예능"
"한국","2순위","37","32.30000","42.30000","28.30000","47.40000","40.00000","36.30000","23.10000","베트남","2020","예능"
"중국","3순위","17","13.30000","20.70000","20.40000","11.40000","15.80000","18.80000","26.90000","베트남","2020","예능"
"미국","1순위","52","53.30000","50.80000","60.00000","47.90000","47.50000","53.40000","53.60000","베트남","2020","영화"
"한국","2순위","25","23.30000","25.60000","14.50000","28.20000","31.10000","23.90000","21.40000","베트남","2020","영화"
"중국","3순위","19","18.10000","19.70000","19.10000","17.10000","18.90000","19.30000","25.00000","베트남","2020","영화"
"미국","1순위","61","63.60000","57.40000","64.00000","55.60000","61.80000","61.90000","66.70000","호주","2020","드라마"
"한국","2순위","17","11.80000","22.30000","16.00000","23.80000","12.70000","9.50000","13.30000","호주","2020","드라마"
"중국","3순위","10","10.90000","8.50000","6.00000","14.30000","9.10000","14.30000","0.00000","호주","2020","드라마"
"미국","1순위","59","55.10000","62.40000","67.30000","51.60000","55.80000","55.60000","71.40000","호주","2020","예능"
"중국","2순위","14","17.80000","8.60000","5.80000","15.60000","17.30000","22.20000","7.10000","호주","2020","예능"
"한국","3순위","14","13.10000","14.00000","11.50000","21.90000","7.70000","5.60000","14.30000","호주","2020","예능"
"미국","1순위","65","60.60000","71.70000","58.00000","57.10000","71.20000","71.00000","87.50000","호주","2020","영화"
"한국","2순위","14","15.70000","12.00000","12.00000","23.80000","11.90000","6.50000","6.30000","호주","2020","영화"
"중국","3순위","11","12.60000","7.60000","14.00000","7.90000","8.50000","19.40000","0.00000","호주","2020","영화"
"영국","1순위","35","36.20000","33.00000","22.80000","37.10000","31.90000","57.70000","45.50000","미국","2020","드라마"
"한국","2순위","29","31.00000","26.60000","21.10000","35.50000","31.90000","23.10000","27.30000","미국","2020","드라마"
"일본","3순위","23","23.30000","22.90000","36.80000","21.00000","20.30000","11.50000","9.10000","미국","2020","드라마"
"영국","1순위","36","35.40000","35.80000","42.40000","28.30000","27.40000","60.90000","44.40000","미국","2020","예능"
"한국","2순위","28","26.30000","30.90000","9.10000","43.40000","29.00000","21.70000","22.20000","미국","2020","예능"
"일본","3순위","26","31.30000","18.50000","33.30000","18.90000","33.90000","8.70000","22.20000","미국","2020","예능"
"영국","1순위","49","51.60000","46.20000","42.00000","41.90000","50.00000","69.60000","63.20000","미국","2020","영화"
"일본","2순위","22","21.00000","23.10000","30.00000","21.00000","25.70000","4.30000","10.50000","미국","2020","영화"
"한국","3순위","17","14.50000","19.20000","10.00000","24.20000","14.90000","17.40000","15.80000","미국","2020","영화"
"미국","1순위","73","76.70000","69.30000","62.30000","79.00000","73.20000","74.50000","72.70000","브라질","2020","드라마"
"한국","2순위","17","15.50000","17.60000","21.30000","18.50000","15.50000","10.60000","13.60000","브라질","2020","드라마"
"일본","3순위","4","2.30000","5.20000","6.60000","1.20000","5.60000","4.30000","0.00000","브라질","2020","드라마"
"미국","1순위","75","75.90000","73.20000","73.70000","74.70000","71.40000","83.30000","71.40000","브라질","2020","예능"
"한국","2순위","14","15.00000","12.20000","10.50000","16.50000","15.70000","8.30000","14.30000","브라질","2020","예능"
"중국","3순위","5","4.50000","4.90000","8.80000","3.80000","4.30000","0.00000","7.10000","브라질","2020","예능"
"미국","1순위","82","83.00000","80.70000","73.00000","82.20000","84.00000","90.70000","80.00000","브라질","2020","영화"
"한국","2순위","9","7.40000","9.90000","10.80000","9.90000","7.00000","7.40000","6.70000","브라질","2020","영화"
"중국","3순위","5","3.20000","6.40000","12.20000","3.00000","4.00000","0.00000","3.30000","브라질","2020","영화"
"미국","1순위","67","67.90000","67.00000","74.10000","60.60000","66.20000","67.70000","81.80000","프랑스","2020","드라마"
"한국","2순위","13","15.20000","10.40000","5.60000","15.20000","12.30000","19.40000","18.20000","프랑스","2020","드라마"
"중국","3순위","8","4.50000","12.20000","3.70000","13.60000","12.30000","0.00000","0.00000","프랑스","2020","드라마"
"미국","1순위","62","57.60000","66.00000","71.10000","64.30000","54.20000","68.00000","37.50000","프랑스","2020","예능"
"중국","2순위","17","16.30000","18.10000","5.30000","16.10000","27.10000","8.00000","37.50000","프랑스","2020","예능"
"한국","3순위","10","10.90000","8.50000","5.30000","12.50000","8.50000","16.00000","0.00000","프랑스","2020","예능"
"미국","1순위","68","68.50000","67.20000","69.40000","62.10000","65.50000","72.50000","79.30000","프랑스","2020","영화"
"중국","2순위","10","8.10000","13.40000","6.10000","15.20000","13.10000","7.50000","3.40000","프랑스","2020","영화"
"한국","3순위","8","8.70000","7.60000","8.20000","7.60000","9.50000","10.00000","3.40000","프랑스","2020","영화"
"미국","1순위","64","57.80000","69.20000","63.30000","71.20000","54.80000","40.00000","88.20000","영국","2020","드라마"
"일본","2순위","15","15.60000","14.40000","18.40000","7.60000","28.60000","15.00000","0.00000","영국","2020","드라마"
"한국","3순위","13","16.70000","10.60000","14.30000","10.60000","7.10000","40.00000","5.90000","영국","2020","드라마"
"미국","1순위","63","61.00000","65.30000","67.60000","57.90000","62.80000","50.00000","81.30000","영국","2020","예능"
"일본","2순위","15","16.90000","13.90000","14.70000","13.20000","18.60000","22.20000","6.30000","영국","2020","예능"
"한국","3순위","12","13.00000","11.10000","8.80000","13.20000","11.60000","22.20000","6.30000","영국","2020","예능"
"미국","1순위","77","75.60000","77.90000","69.40000","77.80000","76.70000","70.00000","91.20000","영국","2020","영화"
"일본","2순위","13","8.90000","16.80000","24.50000","6.30000","13.30000","16.70000","2.90000","영국","2020","영화"
"한국","3순위","7","9.80000","3.50000","4.10000","12.70000","3.30000","13.30000","0.00000","영국","2020","영화"
"미국","1순위","53","59.60000","48.90000","52.90000","43.80000","52.00000","72.70000","72.70000","러시아","2020","드라마"
"영국","2순위","19","15.40000","21.30000","7.80000","27.10000","32.00000","9.10000","18.20000","러시아","2020","드라마"
"한국","3순위","14","11.50000","16.00000","21.60000","14.60000","4.00000","9.10000","9.10000","러시아","2020","드라마"
"미국","1순위","45","44.30000","45.10000","45.70000","47.40000","42.40000","55.60000","16.70000","러시아","2020","예능"
"영국","2순위","16","14.80000","16.90000","6.50000","13.20000","24.20000","33.30000","33.30000","러시아","2020","예능"
"한국","3순위","14","13.10000","15.50000","17.40000","18.40000","6.10000","11.10000","16.70000","러시아","2020","예능"
"미국","1순위","63","68.10000","58.00000","61.90000","53.70000","73.50000","69.00000","55.00000","러시아","2020","영화"
"영국","2순위","17","12.80000","21.00000","14.30000","18.50000","16.30000","13.80000","25.00000","러시아","2020","영화"
"일본","3순위","8","9.60000","6.00000","9.50000","13.00000","2.00000","3.40000","10.00000","러시아","2020","영화"
"미국","1순위","59","64.50000","54.30000","61.10000","57.00000","58.20000","57.40000","66.70000","터키","2020","드라마"
"한국","2순위","28","19.10000","36.00000","19.40000","34.20000","32.90000","27.80000","19.00000","터키","2020","드라마"
"영국","3순위","5","5.00000","4.30000","5.60000","3.80000","5.10000","3.70000","4.80000","터키","2020","드라마"
"미국","1순위","59","61.10000","57.40000","56.90000","52.80000","66.10000","52.60000","75.00000","터키","2020","예능"
"한국","2순위","21","14.70000","25.40000","23.50000","30.20000","13.60000","23.70000","0.00000","터키","2020","예능"
"중국","3순위","10","11.60000","8.20000","11.80000","5.70000","8.50000","13.20000","12.50000","터키","2020","예능"
"미국","1순위","70","75.10000","65.60000","61.40000","68.90000","80.90000","66.70000","74.10000","터키","2020","영화"
"한국","2순위","18","11.30000","24.00000","20.50000","21.10000","12.80000","21.20000","7.40000","터키","2020","영화"
"중국","3순위","6","6.80000","6.00000","9.60000","5.60000","3.20000","7.60000","7.40000","터키","2020","영화"
"미국","1순위","46","51.20000","42.20000","50.00000","50.60000","39.70000","44.90000","50.00000","UAE","2020","드라마"
"한국","2순위","33","28.10000","37.40000","16.10000","35.10000","37.20000","42.90000","37.50000","UAE","2020","드라마"
"일본","3순위","7","6.60000","7.50000","14.30000","6.50000","5.10000","4.10000","0.00000","UAE","2020","드라마"
"미국","1순위","54","54.90000","52.20000","57.80000","51.80000","48.40000","58.10000","55.60000","UAE","2020","예능"
"한국","2순위","26","23.50000","28.30000","20.00000","26.80000","29.00000","25.60000","33.30000","UAE","2020","예능"
"일본","3순위","9","10.80000","8.00000","8.90000","10.70000","8.10000","11.60000","0.00000","UAE","2020","예능"
"미국","1순위","62","62.90000","60.60000","54.50000","68.40000","59.80000","62.10000","66.70000","UAE","2020","영화"
"한국","2순위","20","17.50000","21.90000","10.90000","20.30000","23.20000","20.70000","33.30000","UAE","2020","영화"
"영국","3순위","8","7.70000","7.30000","12.70000","5.10000","6.10000","8.60000","0.00000","UAE","2020","영화"
"미국","1순위","78","73.30000","83.10000","82.20000","79.20000","78.00000","66.70000","83.30000","남아공","2020","드라마"
"한국","2순위","7","9.30000","3.60000","2.20000","7.50000","7.30000","8.30000","16.70000","남아공","2020","드라마"
"중국","3순위","6","5.80000","6.00000","4.40000","5.70000","7.30000","8.30000","0.00000","남아공","2020","드라마"
"미국","1순위","80","74.30000","85.90000","81.00000","73.20000","83.00000","82.10000","85.70000","남아공","2020","예능"
"영국","2순위","8","7.90000","7.10000","9.50000","5.40000","7.50000","7.10000","14.30000","남아공","2020","예능"
"중국","3순위","6","6.90000","4.70000","7.10000","7.10000","5.70000","3.60000","0.00000","남아공","2020","예능"
"미국","1순위","81","78.20000","84.90000","81.30000","81.80000","83.30000","75.50000","90.00000","남아공","2020","영화"
"중국","2순위","7","10.20000","3.40000","9.40000","7.80000","7.60000","4.10000","0.00000","남아공","2020","영화"
"영국","3순위","5","4.10000","5.00000","4.70000","1.30000","3.00000","10.20000","10.00000","남아공","2020","영화"
"미국","1순위","49","54.40000","43.20000","53.40000","41.90000","45.60000","56.60000","44.00000","중국","2019","드라마"
"미국","2순위","31","26.10000","36.40000","28.00000","38.70000","32.80000","25.30000","28.00000","중국","2019","드라마"
"일본","3순위","35","36.90000","32.40000","24.60000","34.70000","40.80000","36.40000","44.00000","중국","2019","드라마"
"한국","1순위","47","47.00000","47.90000","44.20000","54.00000","52.90000","38.60000","33.30000","중국","2019","예능"
"일본","2순위","31","32.90000","28.80000","34.50000","33.10000","28.90000","26.10000","29.20000","중국","2019","예능"
"미국","3순위","30","29.90000","29.70000","33.60000","32.30000","29.80000","22.70000","25.00000","중국","2019","예능"
"미국","1순위","73","73.20000","73.10000","73.00000","74.00000","69.70000","76.00000","76.00000","중국","2019","영화"
"영국","2순위","37","32.60000","41.30000","41.70000","38.20000","24.60000","43.80000","44.00000","중국","2019","영화"
"한국","3순위","37","35.10000","38.40000","38.30000","32.50000","32.00000","49.00000","28.00000","중국","2019","영화"
"미국","1순위","75","82.60000","67.40000","67.90000","72.50000","82.80000","78.70000","70.50000","일본","2019","드라마"
"한국","2순위","41","42.40000","39.20000","39.70000","40.70000","47.30000","42.60000","27.30000","일본","2019","드라마"
"영국","3순위","44","43.60000","44.80000","50.00000","39.60000","44.10000","44.70000","43.20000","일본","2019","드라마"
"미국","1순위","73","76.10000","70.50000","66.70000","61.20000","77.80000","84.40000","93.30000","일본","2019","예능"
"한국","2순위","39","44.30000","34.70000","38.10000","26.50000","51.10000","46.90000","33.30000","일본","2019","예능"
"영국","3순위","40","44.30000","36.80000","38.10000","36.70000","51.10000","37.50000","33.30000","일본","2019","예능"
"미국","1순위","86","84.70000","87.40000","78.70000","83.60000","89.50000","86.00000","93.80000","일본","2019","영화"
"영국","2순위","59","58.30000","59.10000","53.20000","56.20000","61.80000","53.50000","71.90000","일본","2019","영화"
"한국","3순위","45","41.00000","50.40000","38.30000","32.90000","50.00000","53.50000","62.50000","일본","2019","영화"
"한국","1순위","42","31.30000","52.10000","53.40000","47.10000","41.40000","31.30000","17.10000","대만","2019","드라마"
"중국","2순위","30","25.30000","33.50000","30.20000","31.90000","30.20000","26.50000","24.40000","대만","2019","드라마"
"미국","3순위","26","21.50000","30.60000","32.80000","23.50000","25.90000","22.90000","22.00000","대만","2019","드라마"
"한국","1순위","36","27.00000","44.60000","48.10000","42.10000","33.00000","26.00000","15.40000","대만","2019","예능"
"일본","2순위","31","32.60000","28.60000","33.70000","36.00000","25.00000","28.60000","25.60000","대만","2019","예능"
"일본","3순위","29","25.60000","32.90000","29.80000","28.90000","29.50000","28.60000","30.80000","대만","2019","예능"
"미국","1순위","71","65.50000","75.80000","73.00000","67.80000","74.60000","62.80000","76.20000","대만","2019","영화"
"일본","2순위","32","34.50000","28.80000","37.40000","26.40000","36.40000","23.10000","33.30000","대만","2019","영화"
"한국","3순위","37","34.50000","38.60000","41.70000","33.10000","38.10000","34.60000","31.00000","대만","2019","영화"
"한국","1순위","53","47.60000","57.50000","46.80000","62.30000","57.40000","48.30000","32.40000","태국","2019","드라마"
"한국","2순위","25","22.50000","26.30000","28.40000","21.30000","22.10000","23.00000","35.30000","태국","2019","드라마"
"중국","3순위","29","27.80000","29.60000","33.90000","23.80000","27.00000","32.20000","26.50000","태국","2019","드라마"
"한국","1순위","44","42.70000","44.80000","42.70000","52.80000","46.60000","33.70000","28.10000","태국","2019","예능"
"일본","2순위","34","36.00000","32.00000","32.70000","36.60000","30.50000","38.60000","28.10000","태국","2019","예능"
"미국","3순위","26","24.00000","27.80000","22.70000","35.00000","24.60000","19.30000","25.00000","태국","2019","예능"
"미국","1순위","48","46.30000","49.80000","42.90000","38.80000","48.30000","58.60000","69.70000","태국","2019","영화"
"중국","2순위","30","28.60000","30.50000","24.80000","26.40000","25.80000","40.20000","42.40000","태국","2019","영화"
"한국","3순위","31","30.40000","31.00000","29.50000","30.60000","24.20000","34.50000","48.50000","태국","2019","영화"
"한국","1순위","45","36.70000","53.20000","50.00000","57.00000","44.60000","33.70000","14.30000","말레이시아","2019","드라마"
"한국","2순위","27","28.80000","24.70000","25.90000","21.90000","28.90000","25.80000","42.90000","말레이시아","2019","드라마"
"미국","3순위","22","20.10000","24.30000","24.10000","21.10000","24.80000","19.10000","17.90000","말레이시아","2019","드라마"
"한국","1순위","41","35.90000","45.30000","45.00000","50.40000","40.90000","29.50000","12.00000","말레이시아","2019","예능"
"한국","2순위","25","25.80000","24.40000","25.70000","22.60000","26.10000","26.90000","24.00000","말레이시아","2019","예능"
"미국","3순위","25","24.00000","26.20000","26.60000","29.60000","26.10000","21.80000","4.00000","말레이시아","2019","예능"
"미국","1순위","57","60.30000","54.30000","60.20000","47.10000","52.90000","67.90000","75.90000","말레이시아","2019","영화"
"중국","2순위","27","29.90000","24.60000","20.40000","19.30000","32.20000","39.30000","31.00000","말레이시아","2019","영화"
"한국","3순위","32","31.20000","33.20000","33.60000","26.10000","29.80000","35.70000","51.70000","말레이시아","2019","영화"
"한국","1순위","72","65.00000","77.70000","70.20000","76.00000","73.00000","66.30000","72.70000","인도네시아","2019","드라마"
"미국","2순위","12","15.00000","8.90000","14.40000","11.60000","11.50000","11.20000","4.50000","인도네시아","2019","드라마"
"일본","3순위","7","8.20000","6.10000","7.70000","6.60000","6.60000","7.10000","9.10000","인도네시아","2019","드라마"
"한국","1순위","54","52.00000","54.90000","50.00000","57.00000","52.80000","53.50000","55.00000","인도네시아","2019","예능"
"미국","2순위","30","28.20000","30.50000","38.10000","20.20000","32.10000","32.60000","20.00000","인도네시아","2019","예능"
"일본","3순위","8","12.40000","4.70000","7.10000","9.60000","8.50000","5.80000","10.00000","인도네시아","2019","예능"
"미국","1순위","51","45.10000","55.50000","51.90000","43.80000","60.20000","48.00000","39.10000","인도네시아","2019","영화"
"한국","2순위","36","38.80000","32.80000","34.90000","43.00000","26.80000","36.70000","43.50000","인도네시아","2019","영화"
"일본","3순위","6","8.00000","3.20000","8.50000","5.00000","5.70000","4.10000","0.00000","인도네시아","2019","영화"
"미국","1순위","48","53.80000","42.20000","57.10000","37.40000","52.60000","44.40000","53.80000","인도","2019","드라마"
"한국","2순위","35","30.60000","40.00000","26.40000","48.60000","32.00000","33.30000","23.10000","인도","2019","드라마"
"영국","3순위","8","7.50000","7.60000","7.70000","4.70000","6.20000","14.30000","7.70000","인도","2019","드라마"
"미국","1순위","52","60.20000","42.90000","58.70000","52.00000","52.10000","43.40000","45.00000","인도","2019","예능"
"한국","2순위","24","17.60000","29.80000","18.70000","29.40000","21.30000","22.60000","25.00000","인도","2019","예능"
"영국","3순위","11","9.10000","12.50000","6.70000","7.80000","11.70000","18.90000","15.00000","인도","2019","예능"
"미국","1순위","61","68.40000","52.40000","71.60000","55.20000","57.60000","57.80000","60.00000","인도","2019","영화"
"한국","2순위","19","13.30000","25.70000","12.60000","22.90000","24.20000","17.20000","15.00000","인도","2019","영화"
"중국","3순위","10","10.20000","9.10000","6.30000","12.40000","10.10000","9.40000","10.00000","인도","2019","영화"
"미국","1순위","60","64.00000","55.80000","59.60000","60.60000","56.10000","57.10000","80.00000","호주","2019","드라마"
"영국","2순위","42","43.20000","40.00000","48.90000","34.80000","43.90000","33.30000","53.30000","호주","2019","드라마"
"한국","3순위","31","32.40000","28.40000","27.70000","21.20000","38.60000","42.90000","33.30000","호주","2019","드라마"
"미국","1순위","63","66.70000","59.30000","68.80000","62.10000","62.30000","40.00000","82.40000","호주","2019","예능"
"영국","2순위","43","41.90000","44.00000","50.00000","39.70000","35.80000","25.00000","76.50000","호주","2019","예능"
"한국","3순위","26","24.80000","27.50000","20.80000","19.00000","30.20000","35.00000","41.20000","호주","2019","예능"
"미국","1순위","68","67.80000","67.00000","66.70000","59.70000","67.20000","70.00000","90.50000","호주","2019","영화"
"영국","2순위","50","50.40000","50.00000","48.90000","43.50000","49.20000","45.00000","81.00000","호주","2019","영화"
"일본","3순위","27","30.40000","22.30000","26.70000","27.40000","31.10000","30.00000","9.50000","호주","2019","영화"
"영국","1순위","37","37.20000","37.50000","34.90000","37.90000","35.30000","45.00000","42.90000","미국","2019","드라마"
"일본","2순위","31","32.40000","28.90000","27.00000","28.70000","35.30000","20.00000","42.90000","미국","2019","드라마"
"중국","3순위","30","26.40000","35.20000","25.40000","29.90000","35.30000","25.00000","33.30000","미국","2019","드라마"
"영국","1순위","40","38.50000","41.50000","44.00000","38.90000","33.30000","46.70000","50.00000","미국","2019","예능"
"일본","2순위","33","33.30000","31.90000","26.00000","27.80000","29.20000","33.30000","75.00000","미국","2019","예능"
"한국","3순위","30","35.00000","23.40000","26.00000","31.50000","27.80000","40.00000","35.00000","미국","2019","예능"
"영국","1순위","42","44.50000","38.80000","39.30000","38.30000","46.00000","45.50000","44.00000","미국","2019","영화"
"일본","2순위","32","34.20000","28.90000","34.40000","30.90000","31.00000","27.30000","36.00000","미국","2019","영화"
"한국","3순위","38","38.70000","38.00000","36.10000","39.50000","35.60000","40.90000","48.00000","미국","2019","영화"
"미국","1순위","72","72.30000","71.10000","71.40000","67.10000","63.80000","83.00000","100.00000","브라질","2019","드라마"
"영국","2순위","31","32.10000","30.20000","33.30000","25.30000","25.00000","42.60000","47.10000","브라질","2019","드라마"
"한국","3순위","30","28.50000","30.90000","36.50000","20.30000","33.80000","27.70000","35.30000","브라질","2019","드라마"
"미국","1순위","73","72.10000","73.70000","63.80000","68.20000","69.10000","91.70000","89.50000","브라질","2019","예능"
"영국","2순위","33","35.10000","30.70000","25.90000","29.40000","32.10000","41.70000","52.60000","브라질","2019","예능"
"일본","3순위","32","34.40000","28.50000","31.00000","32.90000","27.20000","39.60000","26.30000","브라질","2019","예능"
"미국","1순위","79","78.10000","80.00000","79.30000","72.00000","76.30000","90.00000","44.00000","브라질","2019","영화"
"영국","2순위","42","43.20000","41.10000","43.70000","34.00000","37.10000","60.00000","46.40000","브라질","2019","영화"
"한국","3순위","31","29.20000","32.80000","32.20000","30.00000","30.90000","36.70000","17.90000","브라질","2019","영화"
"미국","1순위","68","62.60000","73.80000","76.10000","62.00000","63.90000","67.50000","80.00000","프랑스","2019","드라마"
"영국","2순위","47","43.20000","51.60000","41.80000","50.70000","37.50000","62.50000","60.00000","프랑스","2019","드라마"
"일본","3순위","26","19.40000","32.50000","31.30000","28.20000","16.70000","22.50000","40.00000","프랑스","2019","드라마"
