group_name_en,group_name_kr,debut_date,entertainment_name,entertainment_link,member_current,member_inactive,member_former,fandom_name_en,fandom_name_kr,units,sns,disbanded,group_type,update_at
Red Velvet,레드벨벳,2014-08-01,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,Irene; Seulgi; Wendy; Joy; Yeri,,,ReVeluv,레베럽,Red_Velvet_-_Irene_&_Seulgi,"{""KR"": [{""platform"": ""Daum Cafe"", ""href"": ""http://cafe.daum.net/SM004""}, {""platform"": ""Facebook"", ""href"": ""https://www.facebook.com/RedVelvet""}, {""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/redvelvet.smtown/""}, {""platform"": ""TikTok"", ""href"": ""https://www.tiktok.com/@redvelvet_smtown""}, {""platform"": ""X"", ""href"": ""https://twitter.com/RVsmtown""}, {""platform"": ""Weverse"", ""href"": ""https://www.weverse.io/redvelvet""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/channel/UCk9GmdlDTBfgGRb7vXeRMoQ""}], ""JP"": [{""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/redvelvet_jp/""}, {""platform"": ""X"", ""href"": ""https://twitter.com/Red_VelvetJP""}], ""CH"": [{""platform"": ""Weibo"", ""href"": ""https://www.weibo.com/RedVelvetofficial""}]}",,Girl Group,2025-09-23 15:32:06
BLACKPINK,블랙핑크,2016-08-08,YG Entertainment,https://kpop.fandom.com/wiki/YG_Entertainment,Jisoo; Jennie; Rosé; Lisa,,,BLINK,블링크,,"{""KR"": [{""platform"": ""Daum Cafe"", ""href"": ""http://cafe.daum.net/BLACKPINK1""}, {""platform"": ""Facebook"", ""href"": ""https://www.facebook.com/BLACKPINKOFFICIAL""}, {""platform"": ""Fanpage"", ""href"": ""https://blink.blackpinkofficial.com/""}, {""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/blackpinkofficial/""}, {""platform"": ""SoundCloud"", ""href"": ""https://soundcloud.com/blackpinkofficial""}, {""platform"": ""TikTok"", ""href"": ""https://www.tiktok.com/@bp_tiktok""}, {""platform"": ""X"", ""href"": ""https://twitter.com/ygofficialblink""}, {""platform"": ""X"", ""href"": ""https://twitter.com/BLACKPINK""}, {""platform"": ""Weverse"", ""href"": ""https://www.weverse.io/blackpink""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/@BLACKPINK""}], ""JP"": [{""platform"": ""Fanpage"", ""href"": ""https://blackpink.fc.avex.jp/""}], ""CH"": [{""platform"": ""Weibo"", ""href"": ""https://www.weibo.com/ygblackpinkofficial""}]}",,Girl Group,2025-09-23 15:32:06
Aespa,에스파,2020-11-17,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,Karina; Giselle; Winter; Ningning,,,MY,마이,,"{""KR"": [{""platform"": ""Facebook"", ""href"": ""https://www.facebook.com/aespa.official""}, {""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/aespa_official/""}, {""platform"": ""Threads logo.png"", ""href"": ""https://www.threads.net/aespa_official/""}, {""platform"": ""TikTok"", ""href"": ""https://www.tiktok.com/@aespa_official""}, {""platform"": ""X"", ""href"": ""https://twitter.com/aespa_Official""}, {""platform"": ""Weverse"", ""href"": ""https://www.weverse.io/aespa""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/@aespa""}, {""platform"": ""Zepeto logo.png"", ""href"": ""https://web.zepeto.me/share/user/profile/aespa""}], ""JP"": [{""platform"": ""X"", ""href"": ""https://twitter.com/@aespaJPofficial""}], ""CN"": [{""platform"": ""Bilibili icon.png"", ""href"": ""https://space.bilibili.com/2128487337""}, {""platform"": ""TikTok"", ""href"": ""https://v.douyin.com/i5GunREm""}, {""platform"": ""Weibo"", ""href"": ""https://www.weibo.com/aespa""}]}",,Girl Group,2025-09-23 15:32:06
CrazAngel,크레이즈엔젤,2025-07-10,Forbest Entertainment,,Solmi; Daze; Shannie; Ahon,,,,,,"{""KR"": [{""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/crazangel.official/""}, {""platform"": ""TikTok"", ""href"": ""https://www.tiktok.com/@CRAZANGEL_""}, {""platform"": ""X"", ""href"": ""https://twitter.com/CRAZANGEL_""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/@CRAZANGEL_official""}]}",,Girl Group,2025-09-23 15:32:06
TWICE,트와이스,2015-10-20,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,Nayeon; Jeongyeon; Momo; Sana; Jihyo; Mina; Dahyun; Chaeyoung; Tzuyu,,,ONCE,원스,MISAMO,"{""KR"": [{""platform"": ""Facebook"", ""href"": ""https://www.facebook.com/JYPETWICE""}, {""platform"": ""JYP Fans"", ""href"": ""https://app.fans/community/twice""}, {""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/twicetagram/""}, {""platform"": ""TikTok"", ""href"": ""https://www.tiktok.com/@twice_tiktok_official""}, {""platform"": ""X"", ""href"": ""https://twitter.com/JYPEtwice""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA""}, {""platform"": ""Zepeto logo.png"", ""href"": ""https://web.zepeto.me/share/user/profile/jypetwice""}], ""JP"": [{""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/jypetwice_japan/""}, {""platform"": ""TikTok"", ""href"": ""https://www.tiktok.com/@twice_tiktok_officialjp""}, {""platform"": ""X"", ""href"": ""https://twitter.com/JYPETWICE_JAPAN""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/channel/UCCRb6nYKaT8tzLA8CwDdUtw""}]}",,Girl Group,2025-09-23 15:32:06
APRIL,,2015-08-24,DSP Media,https://kpop.fandom.com/wiki/DSP_Media,,,Chaekyung; Somin; Chaewon; Hyunjoo; Naeun; Yena; Rachel; Jinsol,FiNEAPPLE,파인에플,,"{""KR"": [{""platform"": ""Daum Cafe"", ""href"": ""http://cafe.daum.net/officialAPRIL""}, {""platform"": ""Facebook"", ""href"": ""https://www.facebook.com/APRIL.DSPmedia""}, {""platform"": ""X"", ""href"": ""https://twitter.com/april_dspmedia""}, {""platform"": ""X"", ""href"": ""https://twitter.com/4WallE""}, {""platform"": ""YouTube"", ""href"": ""https://www.youtube.com/@dspapril""}], ""JP"": [{""platform"": ""Instagram"", ""href"": ""https://www.instagram.com/official.april_jp/""}, {""platform"": ""X"", ""href"": ""https://twitter.com/APRIL_JP_FC""}]}","January 28, 2022",Girl Group,2025-09-23 15:32:06
Red Velvet - Irene & Seulgi,레드벨벳-아이린&슬기,2020-07-06,SM Entertainment,https://kpop.fandom.com/wiki/SM_Entertainment,Irene; Seulgi,,,,,,,,Girl Group,2025-09-23 15:32:06
MISAMO,미사모,2023-07-26,JYP Entertainment,https://kpop.fandom.com/wiki/JYP_Entertainment,Momo; Sana; Mina,,,,,,,,Girl Group,2025-09-23 15:32:06
